Comment Type,Total Count,Mean Likes,Median Likes,Max Likes,Zero-Like Percentage (%),Active (>=1 Like) Percentage (%)
Top-level,982,10.877800407331975,0.0,2700,83.91038696537679,16.089613034623213
Reply,590,2.7186440677966104,1.0,59,44.40677966101695,55.59322033898305
